,accession,time,primarydoc,form,url
0,0000078003-24-000183,2024-10-03,a13d-a10_10324.htm,SC 13D/A,https://www.sec.gov/Archives/edgar/data/0000078003/000007800324000183/a13d-a10_10324.htm
1,0001225208-24-008996,2024-10-02,xslF345X05/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000078003/000122520824008996/xslF345X05/doc4.xml
2,0001225208-24-008995,2024-10-02,xslF345X05/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000078003/000122520824008995/xslF345X05/doc4.xml
3,0001225208-24-008994,2024-10-02,xslF345X05/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000078003/000122520824008994/xslF345X05/doc4.xml
4,0001225208-24-008993,2024-10-02,xslF345X05/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000078003/000122520824008993/xslF345X05/doc4.xml
5,0001225208-24-008992,2024-10-02,xslF345X05/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000078003/000122520824008992/xslF345X05/doc4.xml
6,0001225208-24-008955,2024-10-02,xslF345X05/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000078003/000122520824008955/xslF345X05/doc4.xml
7,0001225208-24-008954,2024-10-02,xslF345X05/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000078003/000122520824008954/xslF345X05/doc4.xml
8,0000078003-24-000179,2024-10-01,sch13a_9-930.htm,SC 13D/A,https://www.sec.gov/Archives/edgar/data/0000078003/000007800324000179/sch13a_9-930.htm
9,0001225208-24-008709,2024-09-16,xslF345X05/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000078003/000122520824008709/xslF345X05/doc4.xml
10,0001225208-24-008708,2024-09-16,xslF345X05/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000078003/000122520824008708/xslF345X05/doc4.xml
11,0001225208-24-008707,2024-09-16,xslF345X05/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000078003/000122520824008707/xslF345X05/doc4.xml
12,0001225208-24-008706,2024-09-16,xslF345X05/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000078003/000122520824008706/xslF345X05/doc4.xml
13,0001225208-24-008705,2024-09-16,xslF345X05/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000078003/000122520824008705/xslF345X05/doc4.xml
14,0001225208-24-008704,2024-09-16,xslF345X05/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000078003/000122520824008704/xslF345X05/doc4.xml
15,0001225208-24-008703,2024-09-16,xslF345X05/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000078003/000122520824008703/xslF345X05/doc4.xml
16,0001225208-24-008702,2024-09-16,xslF345X05/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000078003/000122520824008702/xslF345X05/doc4.xml
17,0001225208-24-008701,2024-09-16,xslF345X05/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000078003/000122520824008701/xslF345X05/doc4.xml
18,0001225208-24-008700,2024-09-16,xslF345X05/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000078003/000122520824008700/xslF345X05/doc4.xml
19,0001225208-24-008699,2024-09-16,xslF345X05/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000078003/000122520824008699/xslF345X05/doc4.xml
20,0000078003-24-000175,2024-09-13,pfe_toa2.htm,SC TO-I/A,https://www.sec.gov/Archives/edgar/data/0000078003/000007800324000175/pfe_toa2.htm
21,0001225208-24-008338,2024-09-03,xslF345X05/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000078003/000122520824008338/xslF345X05/doc4.xml
22,0001225208-24-008337,2024-09-03,xslF345X05/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000078003/000122520824008337/xslF345X05/doc4.xml
23,0001225208-24-008336,2024-09-03,xslF345X05/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000078003/000122520824008336/xslF345X05/doc4.xml
24,0000930413-24-002369,2024-08-22,c109722_sctoia.htm,SC TO-I/A,https://www.sec.gov/Archives/edgar/data/0000078003/000093041324002369/c109722_sctoia.htm
25,0001225208-24-008042,2024-08-16,xslF345X05/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000078003/000122520824008042/xslF345X05/doc4.xml
26,0001225208-24-008041,2024-08-16,xslF345X05/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000078003/000122520824008041/xslF345X05/doc4.xml
27,0001225208-24-008040,2024-08-16,xslF345X05/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000078003/000122520824008040/xslF345X05/doc4.xml
28,0001225208-24-008006,2024-08-14,xslF345X05/doc4.xml,4,https://www.sec.gov/Archives/edgar/data/0000078003/000122520824008006/xslF345X05/doc4.xml
