cik,name,ticker,exchange
0000320193,Apple Inc.,AAPL,Nasdaq
0000789019,MICROSOFT CORP,MSFT,Nasdaq
0001652044,Alphabet Inc.,GOOGL,Nasdaq
0001018724,AMAZON COM INC,AMZN,Nasdaq
0001045810,NVIDIA CORP,NVDA,Nasdaq
0001326801,"Meta Platforms, Inc.",META,Nasdaq
0001067983,BERKSHIRE HATHAWAY INC,BRK-B,NYSE
0001318605,"Tesla, Inc.",TSLA,Nasdaq
0000059478,ELI LILLY & Co,LLY,NYSE
0001403161,VISA INC.,V,NYSE
0001046179,TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD,TSM,NYSE
0000731766,UNITEDHEALTH GROUP INC,UNH,NYSE
0000353278,NOVO NORDISK A S,NVO,NYSE
0000104169,Walmart Inc.,WMT,NYSE
0000019617,JPMORGAN CHASE & CO,JPM,NYSE
0000034088,EXXON MOBIL CORP,XOM,NYSE
0000884394,SPDR S&P 500 ETF TRUST,SPY,NYSE
0001730168,Broadcom Inc.,AVGO,Nasdaq
0000824046,LVMH MOET HENNESSY LOUIS VUITTON,LVMUY,OTC
0001141391,Mastercard Inc,MA,NYSE
0001047716,LATAM AIRLINES GROUP S.A.,LTMAY,OTC
0000080424,PROCTER & GAMBLE Co,PG,NYSE
0000200406,JOHNSON & JOHNSON,JNJ,NYSE
0001341439,ORACLE CORP,ORCL,NYSE
0000354950,"HOME DEPOT, INC.",HD,NYSE
0000093410,CHEVRON CORP,CVX,NYSE
0000796343,ADOBE INC.,ADBE,Nasdaq
0000937966,ASML HOLDING NV,ASML,Nasdaq
0000310158,"Merck & Co., Inc.",MRK,NYSE
0000909832,COSTCO WHOLESALE CORP /NEW,COST,Nasdaq
0001094517,TOYOTA MOTOR CORP/,TM,NYSE
0000021344,COCA COLA CO,KO,NYSE
0001551152,AbbVie Inc.,ABBV,NYSE
0000077476,PEPSICO INC,PEP,Nasdaq
0000070858,BANK OF AMERICA CORP /DE/,BAC,NYSE
0001306965,Shell plc,SHEL,NYSE
0001061736,MEXICAN ECONOMIC DEVELOPMENT INC,FMX,NYSE
0000858877,"CISCO SYSTEMS, INC.",CSCO,Nasdaq
0001577552,Alibaba Group Holding Ltd,BABA,NYSE
0001108524,"Salesforce, Inc.",CRM,NYSE
0000901832,ASTRAZENECA PLC,AZN,Nasdaq
0001467373,Accenture plc,ACN,NYSE
0001065280,NETFLIX INC,NFLX,Nasdaq
0000063908,MCDONALDS CORP,MCD,NYSE
0001707925,LINDE PLC,LIN,Nasdaq
0001114448,NOVARTIS AG,NVS,NYSE
0000002488,ADVANCED MICRO DEVICES INC,AMD,Nasdaq
0000097745,THERMO FISHER SCIENTIFIC INC.,TMO,NYSE
0001283699,"T-Mobile US, Inc.",TMUS,Nasdaq
0001000184,SAP SE,SAP,NYSE
0000001800,ABBOTT LABORATORIES,ABT,NYSE
0001166691,COMCAST CORP,CMCSA,Nasdaq
0000078003,PFIZER INC,PFE,NYSE
0000050863,INTEL CORP,INTC,Nasdaq
0000879764,TotalEnergies SE,TTE,NYSE
0001744489,Walt Disney Co,DIS,NYSE
0000320187,"NIKE, Inc.",NKE,NYSE
0000732712,VERIZON COMMUNICATIONS INC,VZ,NYSE
0000896878,INTUIT INC.,INTU,Nasdaq
0001067839,"INVESCO QQQ TRUST, SERIES 1",QQQ,Nasdaq
0000811809,BHP Group Ltd,BHP,NYSE
0000072971,WELLS FARGO & COMPANY/MN,WFC,NYSE
0001737806,PDD Holdings Inc.,PDD,Nasdaq
0001089113,HSBC HOLDINGS PLC,HSBC,NYSE
0001144967,HDFC BANK LTD,HDB,NYSE
0000313616,DANAHER CORP /DE/,DHR,NYSE
0000318154,AMGEN INC,AMGN,Nasdaq
0001413329,Philip Morris International Inc.,PM,NYSE
0000804328,QUALCOMM INC/DE,QCOM,Nasdaq
0001163165,CONOCOPHILLIPS,COP,NYSE
0000051143,INTERNATIONAL BUSINESS MACHINES CORP,IBM,NYSE
0000097476,TEXAS INSTRUMENTS INC,TXN,Nasdaq
0001373715,"ServiceNow, Inc.",NOW,NYSE
0000100885,UNION PACIFIC CORP,UNP,NYSE
0000040545,GENERAL ELECTRIC CO,GE,NYSE
0000006951,APPLIED MATERIALS INC /DE,AMAT,Nasdaq
0000064040,S&P Global Inc.,SPGI,NYSE
0000012927,BOEING CO,BA,NYSE
0000887028,RIO TINTO LTD,RTNTF,OTC
0000018230,CATERPILLAR INC,CAT,NYSE
0000895421,MORGAN STANLEY,MS,NYSE
0000773840,HONEYWELL INTERNATIONAL INC,HON,Nasdaq
0000217410,UNILEVER PLC,UL,NYSE
0001668717,Anheuser-Busch InBev SA/NV,BUD,NYSE
0000829224,STARBUCKS CORP,SBUX,Nasdaq
0000101829,RTX Corp,RTX,NYSE
0001000275,ROYAL BANK OF CANADA,RY,NYSE
0001393818,Blackstone Inc.,BX,NYSE
0001090727,UNITED PARCEL SERVICE INC,UPS,NYSE
0001121404,Sanofi,SNY,Nasdaq
0000004962,AMERICAN EXPRESS CO,AXP,NYSE
0000753308,NEXTERA ENERGY INC,NEE,NYSE
0000060667,LOWES COMPANIES INC,LOW,NYSE
0000732717,AT&T INC.,T,NYSE
0000936468,LOCKHEED MARTIN CORP,LMT,NYSE
0001378580,Airbus SE/ADR,EADSY,OTC
0000947263,TORONTO DOMINION BANK,TD,NYSE
0001075531,Booking Holdings Inc.,BKNG,Nasdaq
0001156039,"Elevance Health, Inc.",ELV,NYSE
0000310764,STRYKER CORP,SYK,NYSE
0001543151,"Uber Technologies, Inc",UBER,NYSE
0000315189,DEERE & CO,DE,NYSE
0000863064,RIO TINTO PLC,RIO,NYSE
0000886982,GOLDMAN SACHS GROUP INC,GS,NYSE
0000109198,TJX COMPANIES INC /DE/,TJX,NYSE
0000313838,Sony Group Corp,SONY,NYSE
0000014272,BRISTOL MYERS SQUIBB CO,BMY,NYSE
0000313807,BP PLC,BP,NYSE
0001119639,PETROBRAS - PETROLEO BRASILEIRO SA,PBR,NYSE
0001035267,INTUITIVE SURGICAL INC,ISRG,Nasdaq
0000067088,MITSUBISHI UFJ FINANCIAL GROUP INC,MUFG,NYSE
0001140625,EQUINOR ASA,EQNR,NYSE
0000062709,"MARSH & MCLENNAN COMPANIES, INC.",MMC,NYSE
0000316709,SCHWAB CHARLES CORP,SCHW,NYSE
0001364742,BlackRock Inc.,BLK,NYSE
0000875320,VERTEX PHARMACEUTICALS INC / MA,VRTX,Nasdaq
0001613103,Medtronic plc,MDT,NYSE
0001045609,"Prologis, Inc.",PLD,NYSE
0000080661,PROGRESSIVE CORP/OH/,PGR,NYSE
0001103982,"Mondelez International, Inc.",MDLZ,Nasdaq
0000008670,AUTOMATIC DATA PROCESSING INC,ADP,Nasdaq
0000882095,"GILEAD SCIENCES, INC.",GILD,Nasdaq
0000896159,Chubb Ltd,CB,NYSE
0000835403,DIAGEO PLC,DEO,NYSE
0000707549,LAM RESEARCH CORP,LRCX,Nasdaq
0001551182,Eaton Corp plc,ETN,NYSE
0000064803,CVS HEALTH Corp,CVS,NYSE
0000872589,"REGENERON PHARMACEUTICALS, INC.",REGN,Nasdaq
0001739940,Cigna Group,CI,NYSE
0001053507,AMERICAN TOWER CORP /MA/,AMT,NYSE
