,accession,time,primarydoc,form,url
0,0000320193-24-000114,2024-10-08,xslF345X05/wk-form4_1728426607.xml,4,https://www.sec.gov/Archives/edgar/data/0000320193/000032019324000114/xslF345X05/wk-form4_1728426607.xml
1,0001958244-24-005135,2024-10-04,xsl144X01/primary_doc.xml,144,https://www.sec.gov/Archives/edgar/data/0000320193/000195824424005135/xsl144X01/primary_doc.xml
2,0000320193-24-000112,2024-10-03,xslF345X05/wk-form4_1727994654.xml,4,https://www.sec.gov/Archives/edgar/data/0000320193/000032019324000112/xslF345X05/wk-form4_1727994654.xml
3,0000320193-24-000111,2024-10-03,xslF345X05/wk-form4_1727994644.xml,4,https://www.sec.gov/Archives/edgar/data/0000320193/000032019324000111/xslF345X05/wk-form4_1727994644.xml
4,0000320193-24-000110,2024-10-03,xslF345X05/wk-form4_1727994634.xml,4,https://www.sec.gov/Archives/edgar/data/0000320193/000032019324000110/xslF345X05/wk-form4_1727994634.xml
5,0000320193-24-000109,2024-10-03,xslF345X05/wk-form4_1727994624.xml,4,https://www.sec.gov/Archives/edgar/data/0000320193/000032019324000109/xslF345X05/wk-form4_1727994624.xml
6,0000320193-24-000108,2024-10-03,xslF345X05/wk-form4_1727994612.xml,4,https://www.sec.gov/Archives/edgar/data/0000320193/000032019324000108/xslF345X05/wk-form4_1727994612.xml
7,0001950047-24-007542,2024-10-02,xsl144X01/primary_doc.xml,144,https://www.sec.gov/Archives/edgar/data/0000320193/000195004724007542/xsl144X01/primary_doc.xml
8,0001973141-24-000479,2024-10-02,xsl144X01/primary_doc.xml,144,https://www.sec.gov/Archives/edgar/data/0000320193/000197314124000479/xsl144X01/primary_doc.xml
9,0001959173-24-006827,2024-10-02,xsl144X01/primary_doc.xml,144,https://www.sec.gov/Archives/edgar/data/0000320193/000195917324006827/xsl144X01/primary_doc.xml
10,0001973141-24-000478,2024-10-02,xsl144X01/primary_doc.xml,144,https://www.sec.gov/Archives/edgar/data/0000320193/000197314124000478/xsl144X01/primary_doc.xml
11,0000320193-24-000102,2024-10-01,xslF345X05/wk-form5_1727822122.xml,5,https://www.sec.gov/Archives/edgar/data/0000320193/000032019324000102/xslF345X05/wk-form5_1727822122.xml
12,0000320193-24-000101,2024-10-01,xslF345X05/wk-form4_1727822082.xml,4,https://www.sec.gov/Archives/edgar/data/0000320193/000032019324000101/xslF345X05/wk-form4_1727822082.xml
13,0000320193-24-000100,2024-10-01,xslF345X05/wk-form4_1727822040.xml,4,https://www.sec.gov/Archives/edgar/data/0000320193/000032019324000100/xslF345X05/wk-form4_1727822040.xml
14,0000320193-24-000099,2024-10-01,xslF345X05/wk-form4_1727821995.xml,4,https://www.sec.gov/Archives/edgar/data/0000320193/000032019324000099/xslF345X05/wk-form4_1727821995.xml
15,0000320193-24-000098,2024-10-01,xslF345X05/wk-form4_1727821948.xml,4,https://www.sec.gov/Archives/edgar/data/0000320193/000032019324000098/xslF345X05/wk-form4_1727821948.xml
16,0000320193-24-000097,2024-10-01,xslF345X05/wk-form4_1727821902.xml,4,https://www.sec.gov/Archives/edgar/data/0000320193/000032019324000097/xslF345X05/wk-form4_1727821902.xml
17,0000320193-24-000096,2024-10-01,xslF345X05/wk-form4_1727821838.xml,4,https://www.sec.gov/Archives/edgar/data/0000320193/000032019324000096/xslF345X05/wk-form4_1727821838.xml
18,0001140361-24-040659,2024-09-10,ef20035718_8k.htm,8-K,https://www.sec.gov/Archives/edgar/data/0000320193/000114036124040659/ef20035718_8k.htm
19,0001140361-24-038601,2024-08-26,ny20033611x3_8k.htm,8-K,https://www.sec.gov/Archives/edgar/data/0000320193/000114036124038601/ny20033611x3_8k.htm
20,0001140361-24-038403,2024-08-23,ny20033611x2_8k.htm,8-K,https://www.sec.gov/Archives/edgar/data/0000320193/000114036124038403/ny20033611x2_8k.htm
21,0000320193-24-000088,2024-08-19,xslF345X05/wk-form4_1724106610.xml,4,https://www.sec.gov/Archives/edgar/data/0000320193/000032019324000088/xslF345X05/wk-form4_1724106610.xml
22,0000320193-24-000086,2024-08-13,xslF345X05/wk-form4_1723590126.xml,4,https://www.sec.gov/Archives/edgar/data/0000320193/000032019324000086/xslF345X05/wk-form4_1723590126.xml
